diagram_id,model,score
hou02614c00458_D._Logic__hou02614c00458__seq13_0,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq13_1,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq15_0,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq15_1,Claude Sonnet 4.5,0
hou02614c00458_D._Logic__hou02614c00458__seq15_12,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq15_14,Claude Sonnet 4.5,0
hou02614c00458_D._Logic__hou02614c00458__seq15_3,Claude Sonnet 4.5,0
hou02614c00458_D._Logic__hou02614c00458__seq15_8,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq617_0,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq617_1,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq617_2,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq617_4,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq621_0,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq621_1,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq621_2,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq621_3,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq621_4,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq621_5,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq625_0,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq625_1,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq625_2,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq625_3,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq625_4,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq625_5,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq625_6,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq625_7,Claude Sonnet 4.5,2
hou02614c00458_D._Logic__hou02614c00458__seq625_9,Claude Sonnet 4.5,1
hou02614c00458_D._Logic__hou02614c00458__seq13_0,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq13_1,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq15_0,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq15_1,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq15_12,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq15_14,Gemini 3 Pro,1
hou02614c00458_D._Logic__hou02614c00458__seq15_3,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq15_8,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq617_0,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq617_1,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq617_2,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq617_4,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq621_0,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq621_1,Gemini 3 Pro,2
hou02614c00458_D._Logic__hou02614c00458__seq621_2,Gemini 3 Pro,2
